Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 15:06:13,2018-05-16 15:07:07,"53,100s",PASSED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 15:06:14,2018-05-16 15:06:48,"33,856s",PASSED
startApplication,,,2018-05-16 15:06:14,2018-05-16 15:06:48,"33,654s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 15:06:48,2018-05-16 15:07:04,"16,912s",PASSED
"Statement - pathScreenshots = ""Screenshots/MONVIT/""",,,2018-05-16 15:06:48,2018-05-16 15:06:48,"0,000s",PASSED
delay,,,2018-05-16 15:06:48,2018-05-16 15:06:53,"5,018s",PASSED
pressBack,,,2018-05-16 15:06:53,2018-05-16 15:06:53,"0,585s",PASSED
tap,,,2018-05-16 15:06:53,2018-05-16 15:06:57,"4,190s",PASSED
"Statement - titleViewRegister = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/OBJ_SCREEN_REGISTER/android.widget.TextView0 - Crie sua conta), 10)",,,2018-05-16 15:06:57,2018-05-16 15:06:58,"0,905s",PASSED
delay,,,2018-05-16 15:06:58,2018-05-16 15:07:03,"5,006s",PASSED
"Statement - If (titleViewRegister == ""Crie sua conta"")",,,2018-05-16 15:07:03,2018-05-16 15:07:04,"1,120s",PASSED
